operation_id,book_id,client_id,created_at,`type`,finished
229,40,,2016-09-23,L,0
230,85,494,2016-09-12,R,1
231,164,,2015-12-03,R,1
232,151,254,2015-01-29,L,0
233,16,368,2016-12-09,S,1
234,30,220,2015-07-29,S,1
235,58,184,2015-04-26,R,1
236,206,316,2016-07-23,S,1
237,144,219,2015-09-04,R,1
238,147,330,2016-10-26,S,1
239,162,114,2015-03-14,R,1
240,147,225,2015-02-20,R,1
241,250,336,2016-02-13,L,0
242,86,409,2016-09-04,S,1
243,40,255,2016-04-25,R,1
244,238,78,2016-10-09,L,0
245,229,41,2015-02-09,L,0
246,195,193,2016-10-23,R,1
247,42,496,2016-12-01,L,0
248,283,488,2016-06-02,R,1
249,96,453,2016-02-27,S,1
250,111,88,2016-09-13,L,0
251,79,477,2016-02-08,S,1
252,154,463,2016-10-31,S,1
253,5,493,2016-02-18,R,1
254,40,395,2016-01-22,L,0
255,127,404,2015-10-04,R,1
256,30,493,2016-12-28,R,1
257,278,478,2015-09-01,L,0
258,35,272,2015-08-13,L,0
259,81,199,2015-06-01,S,1
260,12,407,2015-06-01,S,1
261,61,157,2016-03-21,L,0
262,38,366,2016-01-20,L,0
263,4,203,2016-05-12,L,0
264,139,365,2015-03-26,R,1
265,239,307,2015-11-03,S,1
266,37,494,2016-02-29,S,1
267,172,244,2016-05-04,R,1
268,268,225,2016-12-14,R,1
269,169,260,2016-11-05,R,1
270,59,9,2016-04-14,L,0
271,127,474,2016-09-22,R,1
272,29,323,2015-10-18,S,1
273,260,446,2016-01-31,S,1
274,129,489,2015-06-11,R,1
275,10,279,2016-04-21,R,1
276,118,291,2015-08-30,R,1
277,183,146,2015-04-23,R,1
278,133,287,2015-12-26,R,1
279,230,2,2016-06-24,L,0
280,219,439,2015-07-25,L,0
281,274,342,2015-01-08,S,1
282,64,164,2015-11-25,R,1
283,56,270,2016-05-11,S,1
284,102,70,2016-08-23,L,0
285,176,177,2015-07-04,L,0
286,1,488,2015-05-15,L,0
287,98,346,2015-01-19,S,1
288,273,264,2015-03-08,R,1
289,1,41,2015-05-05,L,0
290,261,366,2015-06-04,S,1
291,11,27,2016-12-07,L,0
292,28,104,2015-01-01,L,0
293,131,152,2016-02-27,S,1
294,254,27,2016-04-30,R,1
295,34,120,2016-12-20,S,1
296,231,438,2015-12-10,L,0
297,199,107,2015-01-19,R,1
298,113,104,2016-06-16,L,0
299,151,44,2015-05-19,S,1
300,106,177,2016-07-29,S,1
301,218,54,2016-09-12,L,0
302,163,261,2015-03-12,R,1
303,135,230,2015-12-04,L,0
304,185,430,2015-09-10,S,1
305,178,171,2015-04-07,R,1
306,70,200,2015-06-08,L,0
307,137,59,2016-07-15,L,0
308,60,430,2016-07-03,L,0
309,24,149,2015-09-26,S,1
310,173,124,2016-03-01,L,0
311,116,113,2015-07-31,R,1
312,97,305,2015-08-20,S,1
313,118,85,2015-08-10,R,1
314,74,271,2015-07-19,L,0
315,64,R,2015-12-21,S,1
316,266,263,2016-01-16,L,0
317,122,469,2015-03-19,S,1
318,28,305,2016-07-16,S,1
319,61,32,2016-01-31,R,1
320,234,484,2016-05-02,R,1
321,141,188,2015-08-28,S,1
322,53,201,2016-05-05,R,1
323,201,337,2015-03-14,R,1
324,226,341,2016-08-10,L,0
325,7,43,2016-03-25,S,1
326,267,151,2016-02-24,R,1
327,9,329,2016-07-25,L,0
328,120,336,2016-07-16,L,0
329,278,7,2016-07-05,S,1
330,104,470,2015-09-03,S,1
331,179,,2015-06-02,R,1
332,264,230,2016-03-09,R,1
333,167,377,2016-07-17,S,1
334,9,31,2016-10-20,S,1
335,267,244,2016-03-04,L,0
336,95,131,2016-02-29,L,0
337,179,130,2016-01-13,L,0
338,287,23,2015-09-27,L,0
339,189,240,2015-01-13,S,1
340,202,223,2016-05-11,R,1
341,144,288,2015-09-24,R,1
342,177,310,2015-06-27,L,0
343,96,422,2015-06-25,S,1
344,96,282,2015-01-15,S,1
345,33,232,2016-01-27,R,1
346,88,371,2015-01-25,L,0
347,190,350,2015-05-31,S,1
348,168,54,2016-07-02,R,1
349,184,269,2016-08-10,R,1
350,70,52,2016-08-17,R,1
351,70,256,2016-02-19,R,1
352,215,179,2015-11-21,R,1
353,146,43,2016-09-09,R,1
354,66,304,2015-07-09,S,1
355,275,234,2015-10-25,L,0
356,4,198,2015-04-05,S,1
357,231,239,2015-09-22,S,1
358,187,423,2015-01-05,R,1
359,22,143,2015-11-13,L,0
360,74,232,2015-05-13,R,1
361,261,432,2015-10-04,R,1
362,193,435,2016-08-28,S,1
363,280,103,2016-02-07,S,1
364,174,368,2016-03-10,R,1
365,257,42,2015-06-05,S,1
366,218,68,2016-08-05,S,1
367,174,367,2016-02-26,L,0
368,166,460,2016-05-08,L,0
369,17,429,2015-08-02,R,1
370,273,68,2016-05-05,S,1
371,60,94,2015-04-28,R,1
372,243,133,2016-08-07,S,1
373,36,451,2015-03-29,R,1
374,65,425,2016-08-26,L,0
375,142,216,2015-09-11,S,1
376,294,161,2016-08-22,R,1
377,255,410,2015-06-05,L,0
378,104,491,2015-10-09,L,0
379,142,138,2015-12-06,R,1
380,135,129,2016-05-18,L,0
381,180,230,2015-10-17,S,1
382,208,496,2016-06-10,L,0
383,44,201,2016-06-17,S,1
384,109,494,2016-09-12,R,1
385,241,398,2015-05-15,R,1
386,280,127,2016-05-04,L,0
387,215,95,2016-11-28,S,1
388,169,231,2015-03-30,R,1
389,214,114,2016-04-13,R,1
390,79,257,2016-04-16,S,1
391,241,375,2015-04-02,R,1
392,229,414,2016-09-26,L,0
393,120,305,2015-12-04,R,1
394,123,264,2015-07-28,R,1
395,237,498,2015-02-09,S,1
396,99,470,2015-07-19,L,0
397,212,210,2016-05-17,S,1
398,291,451,2015-05-26,S,1
399,175,301,2015-05-09,S,1
400,149,91,2015-09-01,S,1
401,132,435,2015-11-01,L,0
402,69,374,2016-01-13,L,0
403,236,130,2016-08-11,L,0
404,268,195,2015-09-05,S,1
405,146,132,2015-04-06,S,1
406,207,332,2016-06-26,S,1
407,70,406,2016-11-25,L,0
408,90,137,2015-08-30,R,1
409,62,84,2016-05-23,L,0
410,259,355,2016-04-11,S,1
411,126,419,2015-03-10,R,1
412,92,499,2016-11-26,S,1
413,60,213,2016-06-26,S,1
414,246,196,2016-06-30,R,1
415,124,484,2016-03-04,S,1
416,265,297,2016-07-08,S,1
417,17,401,2015-10-01,S,1
418,193,303,2016-01-10,S,1
419,25,12,2015-09-29,L,0
420,260,7,2015-12-08,R,1
421,4,68,2015-11-02,L,0
422,216,131,2015-01-23,L,0
423,71,144,2016-04-17,S,1
424,286,76,2015-12-01,S,1
425,193,61,2016-11-03,S,1
426,34,392,2015-07-14,R,1
427,82,139,2015-02-21,S,1
428,1,100,2016-03-19,L,0
429,22,90,2015-09-07,S,1
430,94,117,2016-02-05,R,1
431,39,376,2016-05-08,S,1
432,272,241,2016-07-25,S,1
433,237,162,2016-02-23,L,0
434,71,475,2015-02-21,S,1
435,22,177,2016-03-19,S,1
436,165,392,2015-04-16,L,0
437,248,30,2016-12-14,S,1
438,146,60,2016-07-24,R,1
439,39,135,2015-05-29,R,1
440,177,72,2015-05-28,L,0
441,12,470,2016-09-26,R,1
442,107,439,2016-10-11,S,1
443,40,472,2016-09-25,L,0
444,139,16,2015-10-11,S,1
445,68,77,2016-03-23,S,1
446,190,264,2016-08-03,R,1
447,190,80,2016-11-15,S,1
448,293,336,2015-09-04,S,1
449,224,434,2016-01-13,S,1
450,173,421,2016-10-18,S,1
451,46,160,2015-08-19,R,1
452,124,40,2016-06-03,S,1
453,48,,2015-05-21,L,0
454,5,245,2016-04-30,S,1
455,58,301,2016-09-14,R,1
456,184,R,2016-06-10,R,1
457,144,478,2016-02-16,R,1
458,48,95,2015-06-11,R,1
459,47,416,2016-12-24,S,1
460,6,158,2016-10-10,R,1
461,34,3,2016-09-16,S,1
462,290,,2016-10-07,R,1
463,97,346,2016-01-21,S,1
464,233,310,2015-08-10,R,1
465,94,171,2016-02-10,L,0
466,188,237,2016-01-24,L,0
467,98,,2015-04-17,L,0
468,19,42,2015-07-19,L,0
469,222,373,2015-09-05,R,1
470,233,351,2016-11-26,S,1
471,205,343,2016-03-30,S,1
472,209,243,2015-04-17,L,0
473,143,149,2016-06-04,L,0
474,246,L,2016-08-17,R,1
475,249,500,2016-05-01,R,1
476,256,318,2015-05-13,R,1
477,252,219,2016-10-31,R,1
478,174,331,2016-04-19,R,1
479,40,6,2015-01-26,R,1
480,47,106,2016-12-04,S,1
481,167,57,2015-08-31,L,0
482,79,,2015-08-04,S,1
483,203,169,2015-05-08,R,1
484,153,246,2016-01-28,S,1
485,134,185,2015-12-24,R,1
486,19,467,2015-05-03,S,1
487,177,230,2016-11-12,R,1
488,19,6,2016-04-15,R,1
489,81,146,2016-07-06,R,1
490,289,80,2015-09-28,R,1
491,211,290,2015-07-10,L,0
492,188,385,2016-04-29,L,0
493,141,195,2015-09-24,L,0
494,104,,2015-12-04,R,1
495,163,338,2016-12-14,S,1
496,293,426,2015-03-25,R,1
497,182,187,2015-04-28,L,0
498,57,304,2015-07-12,L,0
499,279,311,2015-12-24,L,0
500,141,134,2015-10-30,L,0
501,101,321,2015-02-06,L,0
502,189,17,2015-01-23,R,1
503,229,84,2015-08-26,S,1
504,146,226,2015-07-01,R,1
505,104,233,2016-02-27,R,1
506,78,50,2015-02-26,S,1
507,109,167,2016-10-02,L,0
508,51,412,2015-09-02,R,1
509,124,99,2016-05-21,L,0
510,292,405,2016-06-22,S,1
511,192,179,2015-09-07,L,0
512,94,138,2016-01-08,S,1
513,274,311,2016-12-13,S,1
514,L,495,2016-06-05,S,1
515,21,435,2016-02-12,R,1
516,223,362,2016-02-09,S,1
517,92,234,2015-07-22,S,1
518,253,168,2015-01-21,S,1
519,172,47,2016-08-01,S,1
520,161,316,2015-04-05,R,1
521,109,139,2016-08-30,R,1
522,286,296,2016-04-07,S,1
523,13,372,2015-05-25,R,1
524,164,80,2015-01-07,L,0
525,275,223,2015-06-02,L,0
526,169,194,2015-07-20,R,1
527,282,280,2016-05-21,R,1
528,60,475,2015-08-22,S,1
529,19,424,2016-05-04,S,1
530,278,157,2016-07-20,L,0
531,110,28,2015-05-09,L,0
532,76,7,2016-10-12,L,0
533,235,350,2016-08-17,R,1
534,198,299,2015-08-04,R,1
535,65,21,2016-09-25,L,0
536,59,,2016-04-05,R,1
537,94,361,2015-04-02,S,1
538,146,229,2016-01-20,L,0
539,15,228,2016-01-24,S,1
540,254,145,2015-11-06,R,1
541,245,158,2016-05-02,S,1
542,190,152,2016-05-20,R,1
543,127,41,2016-08-23,S,1
544,31,87,2016-08-27,S,1
545,39,383,2016-06-14,L,0
546,292,355,2015-06-17,L,0
547,197,155,2016-06-05,R,1
548,186,344,2015-01-10,L,0
549,236,482,2016-05-19,R,1
550,124,230,2015-06-05,R,1
551,115,27,2016-03-15,S,1
552,176,270,2015-07-06,R,1
553,66,134,2016-01-23,S,1
554,46,431,2015-10-27,S,1
555,192,383,2015-01-24,R,1
556,185,165,2015-11-12,L,0
557,139,27,2016-04-28,S,1
558,103,111,2015-11-27,L,0
559,238,168,2015-05-16,R,1
560,241,457,2015-01-15,L,0
561,206,372,2015-07-14,L,0
562,171,117,2015-11-26,S,1
563,227,306,2015-09-22,S,1
564,184,178,2015-03-21,L,0
565,4,391,2015-09-24,R,1
566,133,257,2015-02-21,R,1
567,176,267,2015-02-22,R,1
568,134,251,2015-01-20,S,1
569,223,342,2015-11-02,L,0
570,266,387,2015-07-21,S,1
571,126,355,2015-12-11,R,1
572,293,452,2015-07-01,R,1
573,105,429,2015-04-28,S,1
574,227,463,2015-07-19,L,0
575,185,16,2015-08-21,R,1
576,185,308,2016-09-11,R,1
577,263,242,2015-09-09,L,0
578,226,375,2015-02-07,R,1
579,181,265,2016-05-01,L,0
580,229,263,2016-04-10,L,0
581,99,333,2015-10-31,R,1
582,84,213,2016-06-07,S,1
583,238,39,2015-02-23,R,1
584,272,97,2015-04-24,S,1
585,84,177,2016-09-23,L,0
586,273,144,2015-05-28,L,0
587,284,59,2015-06-10,S,1
588,39,326,2015-09-22,L,0
589,208,134,2015-03-31,S,1
590,72,381,2016-05-12,R,1
591,40,125,2016-02-10,S,1
592,220,445,2015-05-29,R,1
593,133,91,2015-06-17,L,0
594,198,375,2015-10-10,R,1
595,224,327,2015-12-17,R,1
596,32,191,2016-08-31,S,1
597,97,492,2016-02-29,R,1
598,90,297,2016-02-14,L,0
599,76,336,2015-01-11,R,1
600,86,154,2016-01-08,S,1
601,59,220,2015-09-24,R,1
602,236,434,2015-01-19,R,1
603,6,351,2015-01-07,L,0
604,153,276,2015-11-13,R,1
605,77,,2015-07-31,S,1
606,74,480,2016-06-21,S,1
607,204,412,2015-12-05,L,0
608,132,318,2016-12-24,S,1
609,276,221,2016-10-02,R,1
610,250,414,2015-03-14,S,1
611,51,61,2015-09-16,S,1
612,253,158,2016-03-17,R,1
613,34,209,2016-01-03,R,1
614,272,409,2015-01-07,L,0
615,227,336,2015-12-23,S,1
616,11,281,2016-05-16,L,0
617,140,140,2015-12-23,S,1
618,129,267,2016-10-07,L,0
619,259,490,2016-09-08,L,0
620,277,392,2016-02-03,L,0
621,L,283,2015-08-31,S,1
622,208,24,2016-12-10,L,0
623,143,265,2015-10-31,S,1
624,74,114,2015-03-25,S,1
625,273,393,2015-01-01,L,0
626,205,94,2016-08-12,L,0
627,117,381,2015-07-23,S,1
628,181,146,2015-03-21,S,1
629,24,324,2016-05-14,R,1
630,33,273,2016-08-27,S,1
631,117,376,2016-10-08,S,1
632,47,48,2016-09-29,S,1
633,263,330,2016-07-20,S,1
634,257,120,2015-05-08,R,1
635,155,494,2016-11-08,R,1
636,122,379,2015-11-15,R,1
637,132,380,2016-04-24,L,0
638,176,234,2016-05-13,R,1
639,14,437,2016-07-19,L,0
640,138,323,2016-12-06,S,1
641,272,451,2015-02-22,L,0
642,86,283,2016-10-27,S,1
643,237,291,2016-01-21,R,1
644,24,36,2015-11-24,L,0
645,26,443,2015-04-06,S,1
646,153,393,2016-08-23,S,1
647,207,298,2015-10-19,L,0
648,58,253,2015-07-21,L,0
649,81,348,2015-07-27,R,1
650,267,498,2016-09-09,L,0
651,273,139,2016-07-15,S,1
652,47,208,2015-11-29,S,1
653,238,8,2015-08-19,L,0
654,274,394,2015-11-11,S,1
655,211,356,2016-05-20,S,1
656,194,234,2016-08-22,R,1
657,58,142,2015-12-17,S,1
658,187,36,2016-02-19,S,1
659,190,107,2015-07-25,S,1
660,93,25,2016-04-06,S,1
661,35,R,2015-09-17,R,1
662,96,47,2016-09-15,L,0
663,88,267,2016-12-11,S,1
664,84,207,2016-02-24,L,0
665,158,464,2016-11-11,R,1
666,179,66,2016-10-08,L,0
667,229,372,2015-09-24,L,0
668,76,74,2015-04-11,S,1
669,208,331,2016-05-03,L,0
670,68,332,2016-03-05,L,0
671,212,108,2015-08-20,S,1
672,227,486,2016-12-02,S,1
673,285,93,2016-08-22,S,1
674,173,53,2016-07-03,S,1
675,35,278,2016-01-17,L,0
676,107,334,2016-10-18,R,1
677,173,401,2016-10-25,S,1
678,18,479,2016-04-26,L,0
679,243,394,2015-07-11,L,0
680,282,232,2016-05-30,S,1
681,138,438,2016-08-18,R,1
682,149,248,2015-11-15,S,1
683,272,444,2016-12-18,L,0
684,204,293,2015-12-27,R,1
685,36,257,2016-11-14,S,1
686,244,61,2016-05-21,R,1
687,217,165,2015-01-28,S,1
688,81,76,2016-02-07,L,0
689,84,479,2016-10-02,L,0
690,91,264,2016-03-25,R,1
691,184,222,2015-01-07,L,0
692,66,110,2016-05-04,L,0
693,71,230,2016-10-26,S,1
694,75,265,2015-05-19,R,1
695,46,392,2016-07-21,R,1
696,261,144,2015-03-23,L,0
697,215,191,2016-01-26,S,1
698,96,285,2015-05-21,R,1
699,165,66,2015-06-12,L,0
700,155,173,2016-01-31,L,0
701,255,86,2016-05-06,R,1
702,111,390,2016-06-08,R,1
703,151,193,2016-07-20,L,0
704,37,404,2015-02-26,S,1
705,163,111,2016-04-14,S,1
706,36,229,2016-08-07,L,0
707,233,44,2016-12-04,L,0
708,146,28,2015-04-20,L,0
709,193,359,2016-02-13,L,0
710,189,58,2015-05-24,L,0
711,149,376,2016-10-23,R,1
712,216,188,2016-01-08,L,0
713,115,122,2015-02-20,S,1
714,197,445,2016-03-13,S,1
715,48,438,2016-05-16,R,1
716,273,142,2015-09-28,R,1
717,75,172,2016-06-18,S,1
718,212,281,2016-09-24,S,1
719,192,379,2015-10-05,S,1
720,230,127,2016-03-28,R,1
721,41,8,2015-11-18,L,0
722,134,257,2016-03-30,S,1
723,97,229,2015-09-16,L,0
724,L,27,2016-05-02,L,0
725,284,,2015-11-04,R,1
726,201,320,2015-01-22,S,1
727,103,57,2015-09-12,R,1
728,146,263,2016-04-04,L,0
729,96,361,2016-12-01,L,0
730,189,441,2016-08-16,L,0
731,216,102,2015-12-13,L,0
732,202,340,2016-10-15,L,0
733,293,47,2015-10-21,R,1
734,174,68,2016-09-19,L,0
735,134,277,2016-03-03,S,1
736,284,487,2016-10-26,S,1
737,252,408,2015-09-18,L,0
738,141,79,2015-02-14,L,0
739,94,490,2015-03-06,S,1
740,159,34,2016-02-20,S,1
741,5,199,2015-03-15,R,1
742,156,497,2016-12-12,L,0
743,184,435,2015-05-26,R,1
744,233,408,2015-04-23,S,1
745,171,158,2015-02-23,L,0
746,171,465,2015-03-04,R,1
747,249,46,2015-06-03,L,0
748,100,32,2015-04-26,R,1
749,257,267,2015-11-13,S,1
750,152,52,2015-01-19,L,0
751,268,7,2016-10-17,S,1
752,270,78,2016-05-24,L,0
753,286,139,2015-07-20,S,1
754,215,,2015-11-04,S,1
755,229,98,2015-03-10,R,1
756,238,318,2015-11-30,R,1
757,65,109,2015-08-18,S,1
758,87,485,2015-01-15,R,1
759,267,427,2016-11-21,L,0
760,277,181,2016-12-09,L,0
761,15,307,2015-05-07,L,0
762,127,16,2015-04-02,R,1
763,181,215,2015-10-29,L,0
764,29,200,2015-09-14,R,1
765,88,45,2015-12-02,S,1
766,48,472,2016-10-19,R,1
767,157,278,2015-08-24,R,1
768,64,419,2016-05-18,R,1
769,245,161,2015-07-08,S,1
770,129,334,2015-07-30,S,1
771,14,362,2015-09-05,S,1
772,275,241,2016-07-05,L,0
773,189,481,2016-01-29,L,0
774,160,454,2016-11-07,L,0
775,267,115,2016-07-20,L,0
776,110,460,2015-06-10,L,0
777,125,434,2015-11-04,S,1
778,189,341,2015-12-31,L,0
779,151,312,2015-02-18,R,1
780,203,288,2015-03-17,L,0
781,41,280,2016-12-05,R,1
782,11,438,2016-07-18,R,1
783,65,69,2016-12-07,R,1
784,32,347,2016-05-22,S,1
785,177,226,2016-03-31,L,0
786,31,14,2016-01-08,S,1
787,160,167,2015-01-26,R,1
788,229,113,2016-11-29,S,1
789,76,163,2015-02-24,R,1
790,214,451,2015-09-22,L,0
791,117,399,2016-01-01,S,1
792,127,56,2016-05-20,R,1
793,206,,2015-12-09,L,0
794,218,415,2015-10-20,R,1
795,49,482,2015-01-06,S,1
796,90,396,2016-11-21,L,0
797,295,263,2015-07-13,L,0
798,13,155,2015-09-16,R,1
799,218,418,2016-12-06,L,0
800,72,213,2016-06-04,R,1
801,143,103,2016-11-27,R,1
802,37,258,2016-05-22,R,1
803,131,307,2015-07-13,L,0
804,80,307,2016-05-22,L,0
805,162,58,2016-06-20,R,1
806,158,217,2016-10-18,S,1
807,173,325,2015-01-04,R,1
808,65,192,2016-02-03,S,1
809,285,296,2015-03-05,S,1
810,174,260,2016-06-19,R,1
811,125,67,2015-04-08,L,0
812,200,468,2016-08-24,S,1
813,43,,2015-01-08,L,0
814,163,423,2016-04-27,R,1
815,58,269,2016-02-21,R,1
816,47,342,2016-10-16,S,1
817,199,311,2016-03-02,R,1
818,60,200,2015-06-30,L,0
819,88,61,2016-01-22,S,1
820,51,,2015-04-11,L,0
821,225,301,2016-06-30,R,1
